Provider,Region,Payment Status,Payment Channel,Provider Message,Payment Date,,,,,,,,,,,,,,
hubtel,Ghana,failed,mobile_money,Transaction Failed,2025-11-28T23:55:35Z,,,,,,,,,,,,,,
ozow,South Africa,cancelled,eft,Transaction was cancelled,2025-11-28T23:54:22Z,,,,,,,,,,,,,,
ozow,South Africa,cancelled,eft,Transaction was cancelled,2025-11-28T23:52:56Z,,,,,,,,,,,,,,
hubtel,Ghana,failed,mobile_money,Please enter the one time password sent to your phone,2025-11-28T23:51:18Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T23:49:33Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T23:33:29Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T23:32:23Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T23:30:18Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T23:27:28Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T23:26:03Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T23:24:34Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T23:17:28Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T23:10:37Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T22:58:38Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T22:55:32Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T22:40:23Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T22:38:31Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T22:37:35Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,card,Unable to process transaction,2025-11-28T22:35:19Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T22:35:06Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T22:33:26Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,card,Unable to process transaction,2025-11-28T22:32:21Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T22:31:50Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T22:28:54Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,card,Unable to process transaction,2025-11-28T22:18:22Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,card,Unable to process transaction,2025-11-28T22:15:30Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,card,Unable to process transaction,2025-11-28T22:09:49Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T22:05:38Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,bank_transfer,Unable to process transaction,2025-11-28T22:01:26Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,bank_transfer,Unable to process transaction,2025-11-28T22:01:13Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,bank_transfer,incorrect amount sent,2025-11-28T22:00:57Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,bank_transfer,incorrect amount sent,2025-11-28T21:57:14Z,,,,,,,,,,,,,,
paystack,Nigeria,abandoned,bank_transfer,No transfer received,2025-11-28T21:56:08Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,card,Unable to process transaction,2025-11-28T21:54:32Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,bank_transfer,incorrect amount sent,2025-11-28T21:53:23Z,,,,,,,,,,,,,,
paystack,Nigeria,failed,card,Unable to process transaction,2025-11-28T21:51:31Z,,,,,,,,,,,,,,
paystack,Nigeria,successful,bank_transfer,,2025-11-28T21:50:45Z,,,,,,,,,,,,,,
